prompt,julia code
"###Prompt:
Translate the problem below into this DSL:

maximize (s - O)
# Variable: None
# State: s, au, H, O
# Control: u, JV, M
# Dynamics
au'(t) = ((68 - -63) * (u * 18))
H'(t) = ((73 * -71) + (26 - 91))
O'(t) = ((M / 69) + (M / J)),
# Initial Conditions
au(82) = -47
H(82) = -51
O(82) = -56,
# Final Conditions
O(96) = 86,
# State Constraints
H(t) <= 76
O(t) => 83,
# Variable Constraints
,
# Control Constraints
JV(t) <= -46
o(O) = ((O * -41) / (O - 65)), ","###DSL:
o(O) = ((O * -41) / (O - 65))

@def begin
    t ∈ [82, 96], time
    s = (au, H, O) ∈ R³, state
    u = (JV, M) ∈ R², control

    # Dynamics
    ∂(au)(t) == ((68 - -63) * (u * 18))
    ∂(H)(t) == ((73 * -71) + (26 - 91))
    ∂(O)(t) == ((M / 69) + (M / J))

    # Initial Conditions
    au(82) == -47
    H(82) == -51
    O(82) == -56

    # Final Conditions
    O(96) == 86

    # State Constraints
    H(t) ≤ 76
    O(t) ≥ 83

    # Variable Constraints

    # Control Constraints
    JV(t) ≤ -46

    # Objective
    (s - O) => max
end
<TOKEN_FINAL>"
"###Prompt:
Translate the problem below into this DSL:

maximize (R / Z)
# Variable: tf
# State: s, R, Zr, R
# Control: Bm
# Dynamics
R'(t) = ((-81 - M) * (-28 - B)),
# Initial Conditions
R(83) = ME,
# Final Conditions
R(tf) = k,
# State Constraints
R(t) <= ME
Zr(t) => -36
R(t) => -48,
# Variable Constraints
,
# Control Constraints
Bm(t) => 5
where k = 90, ME = 94","###DSL:
k = 90
ME = 94

@def begin
    tf ∈ R, variable
    t ∈ [83, tf], time
    s = (R, Zr, R) ∈ R³, state
    Bm ∈ R, control

    # Dynamics
    ∂(R)(t) == ((-81 - M) * (-28 - B))

    # Initial Conditions
    R(83) == ME

    # Final Conditions
    R(tf) == k

    # State Constraints
    R(t) ≤ ME
    Zr(t) ≥ -36
    R(t) ≥ -48

    # Variable Constraints
    tf ≥ 83

    # Control Constraints
    Bm(t) ≥ 5

    # Objective
    (R / Z) => max
end
<TOKEN_FINAL>"
"###Prompt:
Translate the problem below into this DSL:

maximize (E - n)
# Variable: None
# State: iF
# Control: u, Fa, E, nG
# Dynamics
,
# Initial Conditions
iF(99) = Pc,
# Final Conditions
,
# State Constraints
iF(t) => 86,
# Variable Constraints
,
# Control Constraints
Fa(t) => -45
29 => E(t) => cr
nG(t) <= Jr
where Pc = 22, cr = 87, Jr = -40, AE = -26, G = 11, x = ((-6 / -16) / (cr + Pc)), l = ((39 + x) + (69 - -6)), a = ((-44 / Jr) * (-14 - l))","###DSL:
Pc = 22
cr = 87
Jr = -40
AE = -26
G = 11
x = ((-6 / -16) / (cr + Pc))
l = ((39 + x) + (69 - -6))
a = ((-44 / Jr) * (-14 - l))

@def begin
    t ∈ [99, 100], time
    iF ∈ R, state
    u = (Fa, E, nG) ∈ R³, control

    # Dynamics

    # Initial Conditions
    iF(99) == Pc

    # Final Conditions

    # State Constraints
    iF(t) ≥ 86

    # Variable Constraints

    # Control Constraints
    Fa(t) ≥ -45
    29 ≥ E(t) ≥ cr
    nG(t) ≤ Jr

    # Objective
    (E - n) => max
end
<TOKEN_FINAL>"
"###Prompt:
Translate the problem below into this DSL:

maximize (r / u)
# Variable: None
# State: s, un, r, X
# Control: O
# Dynamics
X'(t) = ((-66 * j) - (11 / 78)),
# Initial Conditions
un(0) = j
X(0) = ae,
# Final Conditions
un(99) = -70
r(99) = O
X(99) = -2,
# State Constraints
r(t) => -10,
# Variable Constraints
,
# Control Constraints
O(t) <= 68
where j = -20, ae = -93, u = -80, Dl = 31, O = -63","###DSL:
j = -20
ae = -93
u = -80
Dl = 31
O = -63

@def begin
    t ∈ [0, 99], time
    s = (un, r, X) ∈ R³, state
    O ∈ R, control

    # Dynamics
    ∂(X)(t) == ((-66 * j) - (11 / 78))

    # Initial Conditions
    un(0) == j
    X(0) == ae

    # Final Conditions
    un(99) == -70
    r(99) == O
    X(99) == -2

    # State Constraints
    r(t) ≥ -10

    # Variable Constraints

    # Control Constraints
    O(t) ≤ 68

    # Objective
    (r / u) => max
end
<TOKEN_FINAL>"
"###Prompt:
Translate the problem below into this DSL:

maximize s
# Variable: None
# State: s, rJ, n
# Control: u, m, xl
# Dynamics
rJ'(t) = ((23 / m) - (u / m)),
# Initial Conditions
n(36) = 18,
# Final Conditions
,
# State Constraints
,
# Variable Constraints
,
# Control Constraints
m(t) <= -70
-83 => xl(t) => -74
","###DSL:

@def begin
    t ∈ [36, 94], time
    s = (rJ, n) ∈ R², state
    u = (m, xl) ∈ R², control

    # Dynamics
    ∂(rJ)(t) == ((23 / m) - (u / m))

    # Initial Conditions
    n(36) == 18

    # Final Conditions

    # State Constraints

    # Variable Constraints

    # Control Constraints
    m(t) ≤ -70
    -83 ≥ xl(t) ≥ -74

    # Objective
    s => max
end
<TOKEN_FINAL>"
"###Prompt:
Translate the problem below into this DSL:

maximize Ms
# Variable: None
# State: Ms
# Control: u, CO, F
# Dynamics
,
# Initial Conditions
Ms(0) = -6,
# Final Conditions
Ms(96) = -44,
# State Constraints
,
# Variable Constraints
,
# Control Constraints
CO(t) <= 7
84 <= F(t) <= 51
Jb(Ms) = ((M + 58) - (M * 48)), ","###DSL:
Jb(Ms) = ((M + 58) - (M * 48))

@def begin
    t ∈ [0, 96], time
    Ms ∈ R, state
    u = (CO, F) ∈ R², control

    # Dynamics

    # Initial Conditions
    Ms(0) == -6

    # Final Conditions
    Ms(96) == -44

    # State Constraints

    # Variable Constraints

    # Control Constraints
    CO(t) ≤ 7
    84 ≤ F(t) ≤ 51

    # Objective
    Ms => max
end
<TOKEN_FINAL>"
"###Prompt:
Translate the problem below into this DSL:

minimize tJ
# Variable: None
# State: s, IY, V, Gs
# Control: u, tJ, G, L
# Dynamics
IY'(t) = ((0 / -39) / (t * t))
Gs'(t) = ((96 + G) * (-13 - -78)),
# Initial Conditions
IY(0) = 37
V(0) = -16
Gs(0) = 53,
# Final Conditions
IY(87) = 44
Gs(87) = -6,
# State Constraints
IY(t) <= -19
V(t) => -67
Gs(t) => -18,
# Variable Constraints
,
# Control Constraints
tJ(t) <= -57
G(t) <= -44
","###DSL:

@def begin
    t ∈ [0, 87], time
    s = (IY, V, Gs) ∈ R³, state
    u = (tJ, G, L) ∈ R³, control

    # Dynamics
    ∂(IY)(t) == ((0 / -39) / (t * t))
    ∂(Gs)(t) == ((96 + G) * (-13 - -78))

    # Initial Conditions
    IY(0) == 37
    V(0) == -16
    Gs(0) == 53

    # Final Conditions
    IY(87) == 44
    Gs(87) == -6

    # State Constraints
    IY(t) ≤ -19
    V(t) ≥ -67
    Gs(t) ≥ -18

    # Variable Constraints

    # Control Constraints
    tJ(t) ≤ -57
    G(t) ≤ -44

    # Objective
    tJ => min
end
<TOKEN_FINAL>"
"###Prompt:
Translate the problem below into this DSL:

minimize s
# Variable: None
# State: s, im, U
# Control: fJ
# Dynamics
U'(t) = ((f / U) * (75 - j)),
# Initial Conditions
U(41) = 35,
# Final Conditions
U(45) = j,
# State Constraints
im(t) <= 25,
# Variable Constraints
,
# Control Constraints
fJ(t) <= U
where aB = 56, U = -5, j = -23U(U) = ((-84 + 18) + (-46 - U)), ","###DSL:
aB = 56
U = -5
j = -23
U(U) = ((-84 + 18) + (-46 - U))

@def begin
    t ∈ [41, 45], time
    s = (im, U) ∈ R², state
    fJ ∈ R, control

    # Dynamics
    ∂(U)(t) == ((f / U) * (75 - j))

    # Initial Conditions
    U(41) == 35

    # Final Conditions
    U(45) == j

    # State Constraints
    im(t) ≤ 25

    # Variable Constraints

    # Control Constraints
    fJ(t) ≤ U

    # Objective
    s => min
end
<TOKEN_FINAL>"
"###Prompt:
Translate the problem below into this DSL:

maximize u
# Variable: x, ti, tf
# State: s, M, X
# Control: u, nN, Q
# Dynamics
,
# Initial Conditions
M(ti) = D
X(ti) = D,
# Final Conditions
M(tf) = -31
X(tf) = D,
# State Constraints
M(t) <= 88
X(t) <= D,
# Variable Constraints
,
# Control Constraints
D <= nN(t) <= Y
Q(t) <= -33
where D = 18, Y = 94S(M) = ((-67 / -26) / (Y - Y)), ","###DSL:
D = 18
Y = 94
S(M) = ((-67 / -26) / (Y - Y))

@def begin
    x = (ti, tf) ∈ R², variable
    t ∈ [ti, tf], time
    s = (M, X) ∈ R², state
    u = (nN, Q) ∈ R², control

    # Dynamics

    # Initial Conditions
    M(ti) == D
    X(ti) == D

    # Final Conditions
    M(tf) == -31
    X(tf) == D

    # State Constraints
    M(t) ≤ 88
    X(t) ≤ D

    # Variable Constraints
    ti ≤ tf

    # Control Constraints
    D ≤ nN(t) ≤ Y
    Q(t) ≤ -33

    # Objective
    u => max
end
<TOKEN_FINAL>"
"###Prompt:
Translate the problem below into this DSL:

minimize s
# Variable: None
# State: s, u, Pd, Qk
# Control: Tv
# Dynamics
Qk'(t) = ((z - T) + (-95 / 28)),
# Initial Conditions
u(0) = bY,
# Final Conditions
Pd(99) = G,
# State Constraints
u(t) => 98
Qk(t) => 44,
# Variable Constraints
,
# Control Constraints
Tv(t) => 53
where z = 87, G = 50, tX = -99, gY = ((tX / -2) + (74 * 41)), Dp = ((98 + 63) + (25 - 97)), bY = ((tX / -99) / (-40 / gY))","###DSL:
z = 87
G = 50
tX = -99
gY = ((tX / -2) + (74 * 41))
Dp = ((98 + 63) + (25 - 97))
bY = ((tX / -99) / (-40 / gY))

@def begin
    t ∈ [0, 99], time
    s = (u, Pd, Qk) ∈ R³, state
    Tv ∈ R, control

    # Dynamics
    ∂(Qk)(t) == ((z - T) + (-95 / 28))

    # Initial Conditions
    u(0) == bY

    # Final Conditions
    Pd(99) == G

    # State Constraints
    u(t) ≥ 98
    Qk(t) ≥ 44

    # Variable Constraints

    # Control Constraints
    Tv(t) ≥ 53

    # Objective
    s => min
end
<TOKEN_FINAL>"
"###Prompt:
Translate the problem below into this DSL:

maximize UG
# Variable: None
# State: s, oP, Z, y
# Control: u, vx, UG
# Dynamics
,
# Initial Conditions
y(0) = rD,
# Final Conditions
oP(81) = -66
y(81) = 60,
# State Constraints
oP(t) <= d
Z(t) <= 25,
# Variable Constraints
,
# Control Constraints
X => vx(t) => 25
-6 <= UG(t) <= 1
where d = -52, X = 98, tw = 90, rD = 64","###DSL:
d = -52
X = 98
tw = 90
rD = 64

@def begin
    t ∈ [0, 81], time
    s = (oP, Z, y) ∈ R³, state
    u = (vx, UG) ∈ R², control

    # Dynamics

    # Initial Conditions
    y(0) == rD

    # Final Conditions
    oP(81) == -66
    y(81) == 60

    # State Constraints
    oP(t) ≤ d
    Z(t) ≤ 25

    # Variable Constraints

    # Control Constraints
    X ≥ vx(t) ≥ 25
    -6 ≤ UG(t) ≤ 1

    # Objective
    UG => max
end
<TOKEN_FINAL>"
"###Prompt:
Translate the problem below into this DSL:

minimize (y * u)
# Variable: uN
# State: h
# Control: u, OQ, y
# Dynamics
h'(t) = ((u + 78) + (Y + 64)),
# Initial Conditions
h(0) = 76,
# Final Conditions
,
# State Constraints
h(t) => X,
# Variable Constraints
uN => X,
# Control Constraints
E => OQ(t) => -76
X => y(t) => -83
where Nb = -12, z = -74, YX = -47, E = 12, X = -75","###DSL:
Nb = -12
z = -74
YX = -47
E = 12
X = -75

@def begin
    uN ∈ R, variable
    t ∈ [0, 60], time
    h ∈ R, state
    u = (OQ, y) ∈ R², control

    # Dynamics
    ∂(h)(t) == ((u + 78) + (Y + 64))

    # Initial Conditions
    h(0) == 76

    # Final Conditions

    # State Constraints
    h(t) ≥ X

    # Variable Constraints
    uN ≥ X

    # Control Constraints
    E ≥ OQ(t) ≥ -76
    X ≥ y(t) ≥ -83

    # Objective
    (y * u) => min
end
<TOKEN_FINAL>"
"###Prompt:
Translate the problem below into this DSL:

minimize r
# Variable: x, tf, XL
# State: v
# Control: u, Bb, wS, r
# Dynamics
,
# Initial Conditions
v(6) = Vq,
# Final Conditions
v(tf) = 88,
# State Constraints
v(t) => Vq,
# Variable Constraints
XL => CG,
# Control Constraints
Bb(t) => -100
-48 <= r(t) <= -83
where Vq = -65, CG = ((-59 + -85) - (Vq * Vq))","###DSL:
Vq = -65
CG = ((-59 + -85) - (Vq * Vq))

@def begin
    x = (tf, XL) ∈ R², variable
    t ∈ [6, tf], time
    v ∈ R, state
    u = (Bb, wS, r) ∈ R³, control

    # Dynamics

    # Initial Conditions
    v(6) == Vq

    # Final Conditions
    v(tf) == 88

    # State Constraints
    v(t) ≥ Vq

    # Variable Constraints
    tf ≥ 6
    XL ≤ CG

    # Control Constraints
    Bb(t) ≥ -100
    -48 ≤ r(t) ≤ -83

    # Objective
    r => min
end
<TOKEN_FINAL>"
"###Prompt:
Translate the problem below into this DSL:

maximize (A - t)
# Variable: x, tf, u
# State: s, qx, As, o
# Control: u, E, Jz
# Dynamics
qx'(t) = ((u - 55) / (32 + t))
As'(t) = ((J - u) - (-15 / -1))
o'(t) = ((e + -71) * (p + 39)),
# Initial Conditions
qx(94) = -12
As(94) = F
o(94) = 15,
# Final Conditions
As(tf) = p
o(tf) = e,
# State Constraints
qx(t) => 87
As(t) <= -9,
# Variable Constraints
,
# Control Constraints
-80 => E(t) => m
Jz(t) <= 86
where F = 26, p = -39, e = 18, m = 81, k = -34a(As) = ((A - A) - (-24 / F)), X(As) = ((F + A) + (74 + F)), ","###DSL:
F = 26
p = -39
e = 18
m = 81
k = -34
a(As) = ((A - A) - (-24 / F))
X(As) = ((F + A) + (74 + F))

@def begin
    x = (tf, u) ∈ R², variable
    t ∈ [94, tf], time
    s = (qx, As, o) ∈ R³, state
    u = (E, Jz) ∈ R², control

    # Dynamics
    ∂(qx)(t) == ((u - 55) / (32 + t))
    ∂(As)(t) == ((J - u) - (-15 / -1))
    ∂(o)(t) == ((e + -71) * (p + 39))

    # Initial Conditions
    qx(94) == -12
    As(94) == F
    o(94) == 15

    # Final Conditions
    As(tf) == p
    o(tf) == e

    # State Constraints
    qx(t) ≥ 87
    As(t) ≤ -9

    # Variable Constraints
    tf ≥ 94

    # Control Constraints
    -80 ≥ E(t) ≥ m
    Jz(t) ≤ 86

    # Objective
    (A - t) => max
end
<TOKEN_FINAL>"
"###Prompt:
Translate the problem below into this DSL:

minimize (P * d)
# Variable: None
# State: s, x, d, P
# Control: YW
# Dynamics
x'(t) = ((52 + Y) + (Y * -77))
d'(t) = ((Y / 30) - (-91 * -39)),
# Initial Conditions
x(57) = -77
d(57) = 88,
# Final Conditions
P(64) = -49,
# State Constraints
d(t) => 68,
# Variable Constraints
,
# Control Constraints

ZN(P) = ((P - 65) - (P * P)), ","###DSL:
ZN(P) = ((P - 65) - (P * P))

@def begin
    t ∈ [57, 64], time
    s = (x, d, P) ∈ R³, state
    YW ∈ R, control

    # Dynamics
    ∂(x)(t) == ((52 + Y) + (Y * -77))
    ∂(d)(t) == ((Y / 30) - (-91 * -39))

    # Initial Conditions
    x(57) == -77
    d(57) == 88

    # Final Conditions
    P(64) == -49

    # State Constraints
    d(t) ≥ 68

    # Variable Constraints

    # Control Constraints

    # Objective
    (P * d) => min
end
<TOKEN_FINAL>"
"###Prompt:
Translate the problem below into this DSL:

minimize (u * r)
# Variable: None
# State: uP
# Control: u, VW, r
# Dynamics
uP'(t) = ((V - u) + (r * 58)),
# Initial Conditions
,
# Final Conditions
uP(98) = 82,
# State Constraints
,
# Variable Constraints
,
# Control Constraints
52 <= VW(t) <= -59
50 <= r(t) <= -92
","###DSL:

@def begin
    t ∈ [0, 98], time
    uP ∈ R, state
    u = (VW, r) ∈ R², control

    # Dynamics
    ∂(uP)(t) == ((V - u) + (r * 58))

    # Initial Conditions

    # Final Conditions
    uP(98) == 82

    # State Constraints

    # Variable Constraints

    # Control Constraints
    52 ≤ VW(t) ≤ -59
    50 ≤ r(t) ≤ -92

    # Objective
    (u * r) => min
end
<TOKEN_FINAL>"
"###Prompt:
Translate the problem below into this DSL:

maximize NR
# Variable: tf
# State: s, m, NR
# Control: u, c, f
# Dynamics
NR'(t) = ((-75 + u) + (c + c)),
# Initial Conditions
,
# Final Conditions
m(tf) = 94
NR(tf) = 11,
# State Constraints
m(t) => -54
NR(t) => -22,
# Variable Constraints
,
# Control Constraints
f(t) => 40
","###DSL:

@def begin
    tf ∈ R, variable
    t ∈ [0, tf], time
    s = (m, NR) ∈ R², state
    u = (c, f) ∈ R², control

    # Dynamics
    ∂(NR)(t) == ((-75 + u) + (c + c))

    # Initial Conditions

    # Final Conditions
    m(tf) == 94
    NR(tf) == 11

    # State Constraints
    m(t) ≥ -54
    NR(t) ≥ -22

    # Variable Constraints
    tf ≥ 0

    # Control Constraints
    f(t) ≥ 40

    # Objective
    NR => max
end
<TOKEN_FINAL>"
